Entry,Method,Pearson r,MUE,Kendall tau
567,ZAP,35~15,30~15,25~9
572,ZAP,31~13,26~15,26~9
581,OPLS,17~2,17~1,30~20
179,GAFF,15~2,10~1,16~1
004,GAFF,16~2,11~1,13~1
575,GAFF,25~12,24~15,21~10
178,GAFF,14~3,15~7,11~5
563,OPLS,37~28,32~24,40~34
569,ZAP,40~28,46~45,35~25
137,GAFF,27~17,42~41,20~10
562,OPLS,19~13,21~15,17~14
544,GAFF,6~2,6~1,6~1
545,GAFF,42~37,41~35,43~41
006,GAFF,7~2,5~2,5~2
169,GAFF,34~28,31~27,39~39
564,OPLS,38~36,39~33,45~44
168,GAFF,47~45,37~33,37~34
531,CHARMM,36~31,36~36,48~48
015,KB,44~44,40~36,49~49
548,OPLS,32~29,34~33,34~34
167,GAFF,46~44,35~33,36~36
138,GAFF,24~24,28~31,32~26
570,ZAP,26~21,43~43,14~16
530,CHARMM,28~26,25~27,46~45
568,ZAP,11~3,14~20,4~6
196,QM,49~48,48~48,22~24
181,GAFF,3~3,8~13,10~7
582,AMOEBA,33~28,45~45,24~32
014,KB,43~43,38~41,50~50
152,QM,45~44,47~47,44~48
153,QM,39~41,44~45,38~39
529,GROMOS,30~30,29~32,31~32
166,GAFF,20~20,19~21,19~21
197,QM,50~50,50~50,27~32
158,QM,48~48,49~49,23~28
180,GAFF,9~8,22~27,18~20
534,QM,29~30,27~31,47~48
005,GAFF,2~2,3~10,2~2
189,QM,41~41,33~40,42~43
149,KB,12~16,12~17,12~12
573,ZAP,4~3,13~20,3~6
566,ZAP,5~7,1~4,7~12
141,MISC,18~17,9~12,15~23
543,GAFF,22~26,20~24,29~32
565,ZAP,8~11,4~6,9~18
542,GAFF,21~25,16~24,28~30
532,QM,23~27,23~31,41~47
533,QM,10~20,18~24,33~41
561,ZAP,13~17,7~20,8~22
145,QM,1~11,2~20,1~9
